"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018:Q1","2018:Q2","2018:Q3","2018:Q4"
"08000","Colorado","69","      Educational services",3140.0,3199.7,3242.5,3293.1
"08000","Colorado","70","      Health care and social assistance",23079.4,23194.3,23586.6,23877.3
"08000","Colorado","76","      Arts, entertainment, and recreation",5914.0,6423.6,6372.9,6304.3
"08000","Colorado","79","      Accommodation and food services",12511.7,12829.4,12877.7,13125.6
"08000","Colorado","82","      Other services (except government and government enterprises)",8141.0,8329.3,8460.9,8585.5
"08000","Colorado","83","  Government and government enterprises",43452.2,44053.0,44487.5,44888.0
"09000","Connecticut","1","All industry total",272854.5,273884.5,278294.5,277874.1
"09000","Connecticut","2","  Private industries",245303.6,246258.3,249917.4,250096.9
"09000","Connecticut","3","      Agriculture, forestry, fishing and hunting",318.4,320.9,339.2,346.3
"09000","Connecticut","6","      Mining, quarrying, and oil and gas extraction",186.6,205.5,220.8,221.5
"09000","Connecticut","10","      Utilities",4834.6,4548.7,4496.1,4604.2
"09000","Connecticut","11","      Construction",8020.2,8153.5,8220.1,8271.2
"09000","Connecticut","12","      Manufacturing",29501.3,29370.5,29881.3,29882.7
"09000","Connecticut","13","          Durable goods manufacturing",21448.7,21309.4,22028.2,21655.1
"09000","Connecticut","25","          Nondurable goods manufacturing",8052.6,8061.1,7853.1,8227.6
"09000","Connecticut","34","      Wholesale trade",17421.6,17643.2,17682.2,18012.0
"09000","Connecticut","35","      Retail trade",13607.0,13842.9,13928.0,13961.5
"09000","Connecticut","36","      Transportation and warehousing",4987.2,5028.0,5132.2,5156.9
"09000","Connecticut","45","      Information",13158.2,13198.1,13904.3,13942.4
"09000","Connecticut","51","      Finance and insurance",38062.5,37382.5,38110.3,37127.2
"09000","Connecticut","56","      Real estate and rental and leasing",39298.1,39895.2,40355.9,40562.9
